(-5.0, -4.95]	2
(-4.95, -4.9]	0
(-4.9, -4.85]	1
(-4.85, -4.8]	1
(-4.8, -4.75]	6
(-4.75, -4.7]	1
(-4.7, -4.65]	1
(-4.65, -4.6]	2
(-4.6, -4.55]	4
(-4.55, -4.5]	2
(-4.5, -4.45]	3
(-4.45, -4.4]	5
(-4.4, -4.35]	6
(-4.35, -4.3]	1
(-4.3, -4.25]	6
(-4.25, -4.2]	10
(-4.2, -4.15]	8
(-4.15, -4.1]	9
(-4.1, -4.05]	3
(-4.05, -4.0]	7
(-4.0, -3.95]	10
(-3.95, -3.9]	13
(-3.9, -3.85]	14
(-3.85, -3.8]	4
(-3.8, -3.75]	16
(-3.75, -3.7]	13
(-3.7, -3.65]	26
(-3.65, -3.6]	24
(-3.6, -3.55]	33
(-3.55, -3.5]	27
(-3.5, -3.45]	32
(-3.45, -3.4]	38
(-3.4, -3.35]	39
(-3.35, -3.3]	21
(-3.3, -3.25]	50
(-3.25, -3.2]	43
(-3.2, -3.15]	67
(-3.15, -3.1]	65
(-3.1, -3.05]	77
(-3.05, -3.0]	96
(-3.0, -2.95]	107
(-2.95, -2.9]	114
(-2.9, -2.85]	133
(-2.85, -2.8]	147
(-2.8, -2.75]	165
(-2.75, -2.7]	190
(-2.7, -2.65]	254
(-2.65, -2.6]	273
(-2.6, -2.55]	358
(-2.55, -2.5]	431
(-2.5, -2.45]	520
(-2.45, -2.4]	573
(-2.4, -2.35]	799
(-2.35, -2.3]	1003
(-2.3, -2.25]	1133
(-2.25, -2.2]	1551
(-2.2, -2.15]	1942
(-2.15, -2.1]	2535
(-2.1, -2.05]	3144
(-2.05, -2.0]	4454
(-2.0, -1.95]	5015
(-1.95, -1.9]	7101
(-1.9, -1.85]	10021
(-1.85, -1.8]	12734
(-1.8, -1.75]	16627
(-1.75, -1.7]	20943
(-1.7, -1.65]	29501
(-1.65, -1.6]	37621
(-1.6, -1.55]	52460
(-1.55, -1.5]	67020
(-1.5, -1.45]	93203
(-1.45, -1.4]	109028
(-1.4, -1.35]	160722
(-1.35, -1.3]	203686
(-1.3, -1.25]	256588
(-1.25, -1.2]	344933
(-1.2, -1.15]	427527
(-1.15, -1.1]	562180
(-1.1, -1.05]	689794
(-1.05, -1.0]	952284
(-1.0, -0.95]	1091810
(-0.95, -0.9]	1382459
(-0.9, -0.85]	1735245
(-0.85, -0.8]	2161722
(-0.8, -0.75]	2523697
(-0.75, -0.7]	3056902
(-0.7, -0.65]	3652484
(-0.65, -0.6]	4109458
(-0.6, -0.55]	4968885
(-0.55, -0.5]	5446004
(-0.5, -0.45]	6110801
(-0.45, -0.4]	6472496
(-0.4, -0.35]	7278969
(-0.35, -0.3]	7742935
(-0.3, -0.25]	7785922
(-0.25, -0.2]	8240627
(-0.2, -0.15]	8249112
(-0.15, -0.1]	8090058
(-0.1, -0.05]	7538334
(-0.05, 0.0]	7530832
(0.0, 0.05]	6742831
(0.05, 0.1]	6098271
(0.1, 0.15]	5553363
(0.15, 0.2]	4809081
(0.2, 0.25]	4188232
(0.25, 0.3]	3489157
(0.3, 0.35]	2854346
(0.35, 0.4]	2347433
(0.4, 0.45]	1885639
(0.45, 0.5]	1457029
(0.5, 0.55]	1129464
(0.55, 0.6]	844968
(0.6, 0.65]	645752
(0.65, 0.7]	466459
(0.7, 0.75]	340088
(0.75, 0.8]	248119
(0.8, 0.85]	173928
(0.85, 0.9]	126115
(0.9, 0.95]	87802
(0.95, 1.0]	65234
(1.0, 1.05]	47471
(1.05, 1.1]	36600
(1.1, 1.15]	30641
(1.15, 1.2]	26290
(1.2, 1.25]	24983
(1.25, 1.3]	25119
(1.3, 1.35]	27039
(1.35, 1.4]	29570
(1.4, 1.45]	33362
(1.45, 1.5]	37746
(1.5, 1.55]	43621
(1.55, 1.6]	49739
(1.6, 1.65]	56771
(1.65, 1.7]	64139
(1.7, 1.75]	71867
(1.75, 1.8]	80968
(1.8, 1.85]	89468
(1.85, 1.9]	97438
(1.9, 1.95]	105532
(1.95, 2.0]	113742
(2.0, 2.05]	119589
(2.05, 2.1]	124614
(2.1, 2.15]	128551
(2.15, 2.2]	129967
(2.2, 2.25]	131507
(2.25, 2.3]	130530
(2.3, 2.35]	127700
(2.35, 2.4]	123852
(2.4, 2.45]	116804
(2.45, 2.5]	109750
(2.5, 2.55]	103016
(2.55, 2.6]	93119
(2.6, 2.65]	84766
(2.65, 2.7]	74743
(2.7, 2.75]	65649
(2.75, 2.8]	57141
(2.8, 2.85]	48435
(2.85, 2.9]	40208
(2.9, 2.95]	33627
(2.95, 3.0]	28038
(3.0, 3.05]	22406
(3.05, 3.1]	18002
(3.1, 3.15]	14158
(3.15, 3.2]	11015
(3.2, 3.25]	8563
(3.25, 3.3]	6598
(3.3, 3.35]	4992
(3.35, 3.4]	3713
(3.4, 3.45]	2782
(3.45, 3.5]	2150
(3.5, 3.55]	1532
(3.55, 3.6]	1110
(3.6, 3.65]	840
(3.65, 3.7]	579
(3.7, 3.75]	431
(3.75, 3.8]	306
(3.8, 3.85]	214
(3.85, 3.9]	165
(3.9, 3.95]	110
(3.95, 4.0]	81
(4.0, 4.05]	69
(4.05, 4.1]	44
(4.1, 4.15]	29
(4.15, 4.2]	24
(4.2, 4.25]	9
(4.25, 4.3]	11
(4.3, 4.35]	9
(4.35, 4.4]	10
(4.4, 4.45]	5
(4.45, 4.5]	5
(4.5, 4.55]	2
(4.55, 4.6]	3
(4.6, 4.65]	3
(4.65, 4.7]	1
(4.7, 4.75]	2
(4.75, 4.8]	1
(4.8, 4.85]	3
(4.85, 4.9]	0
(4.9, 4.95]	1
