(-5.0, -4.95]	0
(-4.95, -4.9]	0
(-4.9, -4.85]	0
(-4.85, -4.8]	0
(-4.8, -4.75]	0
(-4.75, -4.7]	0
(-4.7, -4.65]	0
(-4.65, -4.6]	0
(-4.6, -4.55]	0
(-4.55, -4.5]	0
(-4.5, -4.45]	0
(-4.45, -4.4]	0
(-4.4, -4.35]	0
(-4.35, -4.3]	0
(-4.3, -4.25]	0
(-4.25, -4.2]	0
(-4.2, -4.15]	0
(-4.15, -4.1]	0
(-4.1, -4.05]	0
(-4.05, -4.0]	0
(-4.0, -3.95]	0
(-3.95, -3.9]	0
(-3.9, -3.85]	0
(-3.85, -3.8]	0
(-3.8, -3.75]	0
(-3.75, -3.7]	0
(-3.7, -3.65]	1
(-3.65, -3.6]	0
(-3.6, -3.55]	0
(-3.55, -3.5]	1
(-3.5, -3.45]	0
(-3.45, -3.4]	1
(-3.4, -3.35]	0
(-3.35, -3.3]	0
(-3.3, -3.25]	0
(-3.25, -3.2]	0
(-3.2, -3.15]	1
(-3.15, -3.1]	1
(-3.1, -3.05]	0
(-3.05, -3.0]	2
(-3.0, -2.95]	1
(-2.95, -2.9]	1
(-2.9, -2.85]	1
(-2.85, -2.8]	0
(-2.8, -2.75]	1
(-2.75, -2.7]	2
(-2.7, -2.65]	1
(-2.65, -2.6]	0
(-2.6, -2.55]	7
(-2.55, -2.5]	4
(-2.5, -2.45]	2
(-2.45, -2.4]	3
(-2.4, -2.35]	7
(-2.35, -2.3]	2
(-2.3, -2.25]	5
(-2.25, -2.2]	7
(-2.2, -2.15]	8
(-2.15, -2.1]	13
(-2.1, -2.05]	9
(-2.05, -2.0]	14
(-2.0, -1.95]	23
(-1.95, -1.9]	29
(-1.9, -1.85]	25
(-1.85, -1.8]	36
(-1.8, -1.75]	53
(-1.75, -1.7]	63
(-1.7, -1.65]	83
(-1.65, -1.6]	95
(-1.6, -1.55]	128
(-1.55, -1.5]	161
(-1.5, -1.45]	193
(-1.45, -1.4]	222
(-1.4, -1.35]	345
(-1.35, -1.3]	385
(-1.3, -1.25]	502
(-1.25, -1.2]	660
(-1.2, -1.15]	802
(-1.15, -1.1]	1010
(-1.1, -1.05]	1241
(-1.05, -1.0]	1642
(-1.0, -0.95]	1835
(-0.95, -0.9]	2181
(-0.9, -0.85]	2660
(-0.85, -0.8]	3337
(-0.8, -0.75]	3749
(-0.75, -0.7]	4526
(-0.7, -0.65]	5209
(-0.65, -0.6]	5718
(-0.6, -0.55]	6673
(-0.55, -0.5]	7258
(-0.5, -0.45]	7728
(-0.45, -0.4]	8118
(-0.4, -0.35]	8920
(-0.35, -0.3]	9197
(-0.3, -0.25]	9066
(-0.25, -0.2]	9545
(-0.2, -0.15]	9595
(-0.15, -0.1]	8961
(-0.1, -0.05]	8236
(-0.05, 0.0]	8251
(0.0, 0.05]	7405
(0.05, 0.1]	6789
(0.1, 0.15]	6092
(0.15, 0.2]	5386
(0.2, 0.25]	4764
(0.25, 0.3]	3980
(0.3, 0.35]	3552
(0.35, 0.4]	2959
(0.4, 0.45]	2495
(0.45, 0.5]	2072
(0.5, 0.55]	1756
(0.55, 0.6]	1481
(0.6, 0.65]	1313
(0.65, 0.7]	1188
(0.7, 0.75]	1257
(0.75, 0.8]	1281
(0.8, 0.85]	1386
(0.85, 0.9]	1631
(0.9, 0.95]	1804
(0.95, 1.0]	2244
(1.0, 1.05]	2706
(1.05, 1.1]	3101
(1.1, 1.15]	4002
(1.15, 1.2]	4777
(1.2, 1.25]	5850
(1.25, 1.3]	7101
(1.3, 1.35]	8615
(1.35, 1.4]	10103
(1.4, 1.45]	12423
(1.45, 1.5]	14822
(1.5, 1.55]	17523
(1.55, 1.6]	20172
(1.6, 1.65]	23404
(1.65, 1.7]	26633
(1.7, 1.75]	30197
(1.75, 1.8]	34145
(1.8, 1.85]	38193
(1.85, 1.9]	41442
(1.9, 1.95]	45266
(1.95, 2.0]	48839
(2.0, 2.05]	51626
(2.05, 2.1]	53491
(2.1, 2.15]	55307
(2.15, 2.2]	56199
(2.2, 2.25]	56885
(2.25, 2.3]	56297
(2.3, 2.35]	55275
(2.35, 2.4]	53566
(2.4, 2.45]	50341
(2.45, 2.5]	47379
(2.5, 2.55]	44155
(2.55, 2.6]	40198
(2.6, 2.65]	36420
(2.65, 2.7]	31998
(2.7, 2.75]	28225
(2.75, 2.8]	24413
(2.8, 2.85]	20484
(2.85, 2.9]	17135
(2.9, 2.95]	14258
(2.95, 3.0]	11908
(3.0, 3.05]	9403
(3.05, 3.1]	7628
(3.1, 3.15]	5885
(3.15, 3.2]	4599
(3.2, 3.25]	3558
(3.25, 3.3]	2812
(3.3, 3.35]	2098
(3.35, 3.4]	1552
(3.4, 3.45]	1178
(3.45, 3.5]	923
(3.5, 3.55]	665
(3.55, 3.6]	498
(3.6, 3.65]	337
(3.65, 3.7]	231
(3.7, 3.75]	181
(3.75, 3.8]	130
(3.8, 3.85]	88
(3.85, 3.9]	69
(3.9, 3.95]	48
(3.95, 4.0]	33
(4.0, 4.05]	33
(4.05, 4.1]	12
(4.1, 4.15]	13
(4.15, 4.2]	4
(4.2, 4.25]	1
(4.25, 4.3]	4
(4.3, 4.35]	3
(4.35, 4.4]	4
(4.4, 4.45]	2
(4.45, 4.5]	0
(4.5, 4.55]	1
(4.55, 4.6]	0
(4.6, 4.65]	0
(4.65, 4.7]	0
(4.7, 4.75]	0
(4.75, 4.8]	0
(4.8, 4.85]	0
(4.85, 4.9]	0
(4.9, 4.95]	1
